# Data from Open Admin Data (https://openadmindata.org/zm/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/zambia-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.constituency,children_count.ward,zip_codes,geo.lat,geo.lon,source_url
ZM101,1,Province,Province,Central,Central,central-zm101,ZM101,,,,,,11,15,180,,-13.878,29.725,https://openadmindata.org/zm/provinces/central-zm101/
ZM101001,2,District,District,Chibombo,Chibombo,chibombo-zm101001,ZM101001,,ZM101,Central,Central,,,2,21,,-14.857,27.64,
ZM101001001,3,Constituency,Constituency,Katuba,Katuba,katuba-zm101001001,ZM101001001,,ZM101001,Chibombo,Chibombo,,,,8,,-15.169,27.995,
ZM101001002,3,Constituency,Constituency,Keembe,Keembe,keembe-zm101001002,ZM101001002,,ZM101001,Chibombo,Chibombo,,,,13,,-14.758,27.633,
ZM101002,2,District,District,Chisamba,Chisamba,chisamba-zm101002,ZM101002,,ZM101,Central,Central,,,1,12,,-14.772,28.459,
ZM101002003,3,Constituency,Constituency,Chisamba,Chisamba,chisamba-zm101002003,ZM101002003,,ZM101002,Chisamba,Chisamba,,,,12,,-14.772,28.459,
ZM101003,2,District,District,Chitambo,Chitambo,chitambo-zm101003,ZM101003,,ZM101,Central,Central,,,1,10,,-12.543,30.4,
ZM101003004,3,Constituency,Constituency,Chitambo,Chitambo,chitambo-zm101003004,ZM101003004,,ZM101003,Chitambo,Chitambo,,,,10,,-12.543,30.4,
ZM101005,2,District,District,Kabwe,Kabwe,kabwe-zm101005,ZM101005,,ZM101,Central,Central,,,2,29,,-14.458,28.4,
ZM101005006,3,Constituency,Constituency,Bwacha,Bwacha,bwacha-zm101005006,ZM101005006,,ZM101005,Kabwe,Kabwe,,,,15,,-14.458,28.32,
ZM101005007,3,Constituency,Constituency,Kabwe Central,Kabwe Central,kabwe-central-zm101005007,ZM101005007,,ZM101005,Kabwe,Kabwe,,,,14,,-14.413,28.49,
ZM101006,2,District,District,Kapiri Mposhi,Kapiri Mposhi,kapiri-mposhi-zm101006,ZM101006,,ZM101,Central,Central,,,1,18,,-14.196,28.487,
ZM101006008,3,Constituency,Constituency,Kapiri Mposhi,Kapiri Mposhi,kapiri-mposhi-zm101006008,ZM101006008,,ZM101006,Kapiri Mposhi,Kapiri Mposhi,,,,18,,-14.196,28.487,
ZM101007,2,District,District,Luano,Luano,luano-zm101007,ZM101007,,ZM101,Central,Central,,,1,12,,-14.461,29.568,
ZM101007009,3,Constituency,Constituency,Mkushi South,Mkushi South,mkushi-south-zm101007009,ZM101007009,,ZM101007,Luano,Luano,,,,12,,-14.461,29.568,
ZM101008,2,District,District,Mkushi,Mkushi,mkushi-zm101008,ZM101008,,ZM101,Central,Central,,,1,16,,-13.765,29.483,
ZM101008010,3,Constituency,Constituency,Mkushi North,Mkushi North,mkushi-north-zm101008010,ZM101008010,,ZM101008,Mkushi,Mkushi,,,,16,,-13.765,29.483,
ZM101009,2,District,District,Mumbwa,Mumbwa,mumbwa-zm101009,ZM101009,,ZM101,Central,Central,,,2,21,,-14.957,26.469,
ZM101009011,3,Constituency,Constituency,Mumbwa,Mumbwa,mumbwa-zm101009011,ZM101009011,,ZM101009,Mumbwa,Mumbwa,,,,12,,-14.754,26.345,
ZM101009012,3,Constituency,Constituency,Nangoma,Nangoma,nangoma-zm101009012,ZM101009012,,ZM101009,Mumbwa,Mumbwa,,,,9,,-15.315,27.304,
ZM101010,2,District,District,Ngabwe,Ngabwe,ngabwe-zm101010,ZM101010,,ZM101,Central,Central,,,1,8,,-14.095,27.378,
ZM101010013,3,Constituency,Constituency,Lufubu,Lufubu,lufubu-zm101010013,ZM101010013,,ZM101010,Ngabwe,Ngabwe,,,,8,,-14.095,27.378,
ZM101011,2,District,District,Serenje,Serenje,serenje-zm101011,ZM101011,,ZM101,Central,Central,,,2,21,,-13.189,30.598,
ZM101011014,3,Constituency,Constituency,Muchinga,Muchinga,muchinga-zm101011014,ZM101011014,,ZM101011,Serenje,Serenje,,,,12,,-13.416,30.842,
ZM101011015,3,Constituency,Constituency,Serenje,Serenje,serenje-zm101011015,ZM101011015,,ZM101011,Serenje,Serenje,,,,9,,-12.975,30.088,
ZM101012,2,District,District,Shibuyunji,Shibuyunji,shibuyunji-zm101012,ZM101012,,ZM101,Central,Central,,,1,12,,-15.332,27.683,
ZM101012001,3,Constituency,Constituency,Mwembezhi,Mwembezhi,mwembezhi-zm101012001,ZM101012001,,ZM101012,Shibuyunji,Shibuyunji,,,,12,,-15.332,27.683,
ZM102,1,Province,Province,Copperbelt,Copperbelt,copperbelt-zm102,ZM102,,,,,,10,22,253,,-13.079,27.956,https://openadmindata.org/zm/provinces/copperbelt-zm102/
ZM102001,2,District,District,Chililabombwe,Chililabombwe,chililabombwe-zm102001,ZM102001,,ZM102,Copperbelt,Copperbelt,,,1,24,,-12.358,27.761,
ZM102001016,3,Constituency,Constituency,Chililabombwe,Chililabombwe,chililabombwe-zm102001016,ZM102001016,,ZM102001,Chililabombwe,Chililabombwe,,,,24,,-12.358,27.761,
ZM102002,2,District,District,Chingola,Chingola,chingola-zm102002,ZM102002,,ZM102,Copperbelt,Copperbelt,,,2,29,,-12.504,27.788,
ZM102002017,3,Constituency,Constituency,Chingola,Chingola,chingola-zm102002017,ZM102002017,,ZM102002,Chingola,Chingola,,,,18,,-12.505,27.693,
ZM102002018,3,Constituency,Constituency,Nchanga,Nchanga,nchanga-zm102002018,ZM102002018,,ZM102002,Chingola,Chingola,,,,11,,-12.534,27.966,
ZM102003,2,District,District,Kalulushi,Kalulushi,kalulushi-zm102003,ZM102003,,ZM102,Copperbelt,Copperbelt,,,1,24,,-12.761,27.855,
